time	V(n003)
0.000000000000000e+00	0.000000e+00
9.999999717180685e-10	5.000000e-10
1.999999943436137e-09	1.000000e-09
3.999999886872274e-09	2.000000e-09
7.999999773744548e-09	4.000000e-09
1.599999954748910e-08	8.000000e-09
3.199999909497819e-08	1.600000e-08
6.399999818995639e-08	3.200000e-08
1.279999963799128e-07	6.400000e-08
2.559999927598255e-07	1.280000e-07
5.119999855196511e-07	2.560000e-07
1.023999971039302e-06	5.120000e-07
2.047999942078604e-06	1.024000e-06
4.095999884157209e-06	2.048000e-06
8.191999768314417e-06	4.096000e-06
1.638399953662883e-05	8.192000e-06
3.276799907325767e-05	1.638400e-05
6.553599814651534e-05	3.276800e-05
1.310719962930307e-04	6.553600e-05
2.621439925860614e-04	1.310720e-04
5.242879851721227e-04	2.621440e-04
1.048575970344245e-03	5.242880e-04
2.097151940688491e-03	1.048576e-03
4.194303881376982e-03	2.097152e-03
8.388607762753963e-03	4.194304e-03
1.677721552550793e-02	8.388608e-03
2.654284052550793e-02	1.327142e-02
3.630846552550793e-02	1.815423e-02
4.607409052550793e-02	2.303705e-02
5.583971552550793e-02	2.791986e-02
6.560534052550793e-02	3.280267e-02
7.537096552550793e-02	3.768548e-02
8.513659052550793e-02	4.256830e-02
9.490221552550793e-02	4.745111e-02
1.046678405255079e-01	5.233392e-02
1.144334655255079e-01	5.721673e-02
1.241990905255079e-01	6.209955e-02
1.339647155255079e-01	6.698236e-02
1.437303405255079e-01	7.186517e-02
1.534959655255079e-01	7.674798e-02
1.632615905255079e-01	8.163080e-02
1.730272155255079e-01	8.651361e-02
1.827928405255079e-01	9.139642e-02
1.925584655255079e-01	9.627923e-02
2.023240905255079e-01	1.011620e-01
2.120897155255079e-01	1.060449e-01
2.218553405255079e-01	1.109277e-01
2.316209655255079e-01	1.158105e-01
2.413865905255079e-01	1.206933e-01
2.511522155255079e-01	1.255761e-01
2.609178405255079e-01	1.304589e-01
2.706834655255079e-01	1.353417e-01
2.804490905255079e-01	1.402245e-01
2.902147155255079e-01	1.451074e-01
2.999803405255079e-01	1.499902e-01
3.097459655255079e-01	1.548730e-01
3.195115905255079e-01	1.597558e-01
3.292772155255079e-01	1.646386e-01
3.390428405255079e-01	1.695214e-01
3.488084655255079e-01	1.744042e-01
3.585740905255079e-01	1.792870e-01
3.683397155255079e-01	1.841699e-01
3.781053405255079e-01	1.890527e-01
3.878709655255079e-01	1.939355e-01
3.976365905255079e-01	1.988183e-01
4.074022155255079e-01	2.037011e-01
4.171678405255079e-01	2.085839e-01
4.269334655255079e-01	2.134667e-01
4.366990905255079e-01	2.183495e-01
4.464647155255079e-01	2.232324e-01
4.562303405255079e-01	2.281152e-01
4.659959655255079e-01	2.329980e-01
4.757615905255079e-01	2.378808e-01
4.855272155255079e-01	2.427636e-01
4.952928405255079e-01	2.476464e-01
5.050584655255079e-01	2.525292e-01
5.148240905255079e-01	2.574120e-01
5.245897155255079e-01	2.622949e-01
5.343553405255079e-01	2.671777e-01
5.441209655255079e-01	2.720605e-01
5.538865905255079e-01	2.769433e-01
5.636522155255079e-01	2.818261e-01
5.734178405255079e-01	2.867089e-01
5.831834655255079e-01	2.915917e-01
5.929490905255079e-01	2.964745e-01
6.027147155255079e-01	3.013574e-01
6.124803405255079e-01	3.062402e-01
6.222459655255079e-01	3.111230e-01
6.320115905255079e-01	3.160058e-01
6.417772155255079e-01	3.208886e-01
6.515428405255079e-01	3.257714e-01
6.613084655255079e-01	3.306542e-01
6.710740905255079e-01	3.355370e-01
6.808397155255079e-01	3.404199e-01
6.906053405255079e-01	3.453027e-01
7.003709655255079e-01	3.501855e-01
7.101365905255079e-01	3.550683e-01
7.199022155255079e-01	3.599511e-01
7.296678405255079e-01	3.648339e-01
7.394334655255079e-01	3.697167e-01
7.491990905255079e-01	3.745995e-01
